Kind,Name,File,CountOutput,CountPath,CountInput
Static Function,ap_crypto_equals,mod_session_crypto.c,1,2,4
Function,ap_cstr_casecmp,util.c,1,3,18
Function,ap_cstr_casecmpn,util.c,1,3,13
Function,ap_custom_response,core.c,7,2,6
Function,ap_dbd_acquire,mod_dbd.c,8,16,14
Function,ap_dbd_cacquire,mod_dbd.c,8,4,12
Function,ap_dbd_close,mod_dbd.c,2,2,10
Function,ap_dbd_open,mod_dbd.c,10,12,17
Function,ap_dbd_prepare,mod_dbd.c,7,6,14
Static Function,ap_dbd_sql_init,mod_dbd.c,4,4,9
Static Function,ap_default_log_writer,mod_log_config.c,4,2,9
Static Function,ap_default_log_writer_init,mod_log_config.c,6,7,12
Function,ap_destroy_sub_req,request.c,1,1,20
Function,ap_die,http_request.c,1,1,11
Static Function,ap_die_r,http_request.c,17,1083,27
Function,ap_dir_cfgmatch,util.c,10,1,8
Function,ap_dir_fnmatch,util.c,16,64,13
Function,ap_dir_nofnmatch,util.c,16,17,14
Function,ap_directory_walk,request.c,51,999999999,50
Function,ap_discard_request_body,http_filters.c,7,11,27
Function,ap_document_root,core.c,1,2,12
Function,ap_dump_mutexes,util_mutex.c,9,57,8
Function,ap_duplicate_listeners,listen.c,19,36,15
Function,ap_error_log2stderr,log.c,2,2,4
Function,ap_escape_errorlog_item,util.c,2,21,7
Function,ap_escape_html2,util.c,5,48,48
Function,ap_escape_logitem,util.c,4,31,27
Function,ap_escape_path_segment,util.c,4,1,5
Function,ap_escape_path_segment_buffer,util.c,2,3,4
Function,ap_escape_quotes,util.c,2,45,4
Function,ap_escape_shell_cmd,util.c,3,3,8
Function,ap_escape_urlencoded,util.c,4,1,4
Function,ap_escape_urlencoded_buffer,util.c,2,4,5
Function,ap_exists_config_define,core.c,2,1,13
Function,ap_exists_directive,config.c,4,1,5
Function,ap_exists_scoreboard_image,scoreboard.c,1,1,2
Function,ap_explode_recent_gmt,util_time.c,2,1,4
Function,ap_explode_recent_localtime,util_time.c,2,1,5
Function,ap_expr_binary_op_make,util_expr_eval.c,4,2,5
Static Function,ap_expr_eval,util_expr_eval.c,9,18,8
Static Function,ap_expr_eval_binary_op,util_expr_eval.c,2,1,6
Static Function,ap_expr_eval_comp,util_expr_eval.c,9,23,10
Static Function,ap_expr_eval_re_backref,util_expr_eval.c,2,3,9
Static Function,ap_expr_eval_string_func,util_expr_eval.c,2,1,6
Static Function,ap_expr_eval_unary_op,util_expr_eval.c,2,1,6
Static Function,ap_expr_eval_var,util_expr_eval.c,1,1,3
Static Function,ap_expr_eval_word,util_expr_eval.c,14,21,13
Function,ap_expr_exec,util_expr_eval.c,2,1,10
Function,ap_expr_exec_ctx,util_expr_eval.c,9,20,23
Function,ap_expr_exec_re,util_expr_eval.c,13,2,14
Static Function,ap_expr_info_make,util_expr_eval.c,12,2,16
Function,ap_expr_init,util_expr_eval.c,2,1,1
Function,ap_expr_list_func_make,util_expr_eval.c,4,2,4
Function,ap_expr_lookup_default,util_expr_eval.c,2,1,3
Function,ap_expr_make,util_expr_eval.c,5,1,10
Function,ap_expr_parse,util_expr_eval.c,23,5,14
Function,ap_expr_parse_cmd_mi,util_expr_eval.c,9,2,36
Static Function,ap_expr_post_config,util_expr_eval.c,5,1,3
Function,ap_expr_str_exec,util_expr_eval.c,2,1,24
Function,ap_expr_str_exec_re,util_expr_eval.c,16,7,15
Function,ap_expr_str_func_make,util_expr_eval.c,4,2,4
Function,ap_expr_unary_op_make,util_expr_eval.c,4,2,4
Function,ap_expr_var_make,util_expr_eval.c,3,2,3
Function,ap_expr_yy_create_buffer,util_expr_scan.c,7,4,7
Function,ap_expr_yy_delete_buffer,util_expr_scan.c,2,5,8
Function,ap_expr_yy_flush_buffer,util_expr_scan.c,6,3,6
Static Function,ap_expr_yy_init_buffer,util_expr_scan.c,7,2,7
Static Function,ap_expr_yy_load_buffer_state,util_expr_scan.c,5,1,13
Function,ap_expr_yy_scan_buffer,util_expr_scan.c,14,3,5
Function,ap_expr_yy_scan_bytes,util_expr_scan.c,5,8,4
Function,ap_expr_yy_scan_string,util_expr_scan.c,3,1,2
Function,ap_expr_yy_switch_to_buffer,util_expr_scan.c,7,3,8
Function,ap_expr_yyalloc,util_expr_scan.c,2,1,8
Static Function,ap_expr_yyensure_buffer_stack,util_expr_scan.c,7,5,8
Function,ap_expr_yyerror,util_expr_parse.c,3,1,4
Function,ap_expr_yyfree,util_expr_scan.c,1,1,3
Function,ap_expr_yyget_debug,util_expr_scan.c,1,1,2
Function,ap_expr_yyget_extra,util_expr_scan.c,1,1,2
Function,ap_expr_yyget_in,util_expr_scan.c,1,1,2
Function,ap_expr_yyget_leng,util_expr_scan.c,1,1,2
Function,ap_expr_yyget_lineno,util_expr_scan.c,1,2,4
Function,ap_expr_yyget_lval,util_expr_scan.c,1,1,2
Function,ap_expr_yyget_out,util_expr_scan.c,1,1,2
Function,ap_expr_yyget_text,util_expr_scan.c,1,1,2
Function,ap_expr_yylex,util_expr_scan.c,37,11341,35
Function,ap_expr_yylex_destroy,util_expr_scan.c,7,2,5
Function,ap_expr_yylex_init,util_expr_scan.c,6,3,2
Function,ap_expr_yylex_init_extra,util_expr_scan.c,7,3,2
Function,ap_expr_yyparse,util_expr_parse.c,20,6336,19
Function,ap_expr_yypop_buffer_state,util_expr_scan.c,5,5,4
Function,ap_expr_yypush_buffer_state,util_expr_scan.c,8,5,7
Function,ap_expr_yyrealloc,util_expr_scan.c,2,1,5
Function,ap_expr_yyrestart,util_expr_scan.c,5,2,7
Function,ap_expr_yyset_debug,util_expr_scan.c,1,1,2
Function,ap_expr_yyset_extra,util_expr_scan.c,1,1,4
Function,ap_expr_yyset_in,util_expr_scan.c,1,1,2
Function,ap_expr_yyset_lineno,util_expr_scan.c,3,2,4
Function,ap_expr_yyset_lval,util_expr_scan.c,1,1,2
Function,ap_expr_yyset_out,util_expr_scan.c,1,1,2
Function,ap_fatal_signal_child_setup,mpm_unix.c,3,1,1
Function,ap_fatal_signal_setup,mpm_unix.c,14,243,9
Function,ap_fcgi_begin_request_body_to_array,util_fcgi.c,0,1,6
Function,ap_fcgi_encode_env,util_fcgi.c,5,1539,17
Function,ap_fcgi_encoded_env_len,util_fcgi.c,3,34,8
Function,ap_fcgi_fill_in_header,util_fcgi.c,9,1,7
Function,ap_fcgi_fill_in_request_body,util_fcgi.c,5,1,3
Function,ap_fcgi_header_fields_from_array,util_fcgi.c,5,1,2
Function,ap_fcgi_header_from_array,util_fcgi.c,9,1,1
Function,ap_fcgi_header_to_array,util_fcgi.c,0,1,12
Function,ap_fflush,util_filter.c,6,1,11
Function,ap_field_noparam,util.c,5,4,7
Function,ap_file_walk,request.c,24,8744,23
Function,ap_filter_flush,util_filter.c,3,1,6
Function,ap_filter_protocol,util_filter.c,3,1,1
Function,ap_finalize_request_protocol,protocol.c,2,2,4
Function,ap_finalize_sub_req_protocol,protocol.c,1,2,3
Function,ap_find_child_by_pid,scoreboard.c,2,3,6
Function,ap_find_command,config.c,2,3,4
Function,ap_find_command_in_modules,config.c,3,3,5
Function,ap_find_etag_strong,util.c,2,1,5
Function,ap_find_etag_weak,util.c,2,1,4
Function,ap_find_last_token,util.c,2,1,3
Function,ap_find_linked_module,config.c,2,3,8
